timestamp,scope,name,node,cpu_util,power
2025-05-28T14:20:10.230639,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.037999,0.172301
2025-05-28T14:20:15.722636,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.25719,1.166201
2025-05-28T14:20:15.722636,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.00652,0.029565
2025-05-28T14:20:15.722636,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.011761,0.053331
2025-05-28T14:20:15.722636,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.012925,0.058607
2025-05-28T14:20:15.722636,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.035713,0.161938
2025-05-28T14:20:21.651592,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.243427,1.103797
2025-05-28T14:20:21.651592,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.005717,0.025924
2025-05-28T14:20:21.651592,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.009898,0.04488
2025-05-28T14:20:21.651592,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.011755,0.0533
2025-05-28T14:20:21.651592,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.032686,0.148213
2025-05-28T14:20:25.391736,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.302801,1.373019
2025-05-28T14:20:25.391736,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008507,0.038575
2025-05-28T14:20:25.391736,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.011332,0.051384
2025-05-28T14:20:25.391736,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.01474,0.066837
2025-05-28T14:20:25.391736,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.033769,0.153123
2025-05-28T14:20:30.669171,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.294207,1.334052
2025-05-28T14:20:30.669171,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008002,0.036285
2025-05-28T14:20:30.669171,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.01043,0.047293
2025-05-28T14:20:30.669171,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.015243,0.06912
2025-05-28T14:20:30.669171,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.030585,0.138686
2025-05-28T14:20:36.159554,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.277447,1.258056
2025-05-28T14:20:36.159554,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.00647,0.029335
2025-05-28T14:20:36.159554,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.008745,0.039652
2025-05-28T14:20:36.159554,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.014141,0.064119
2025-05-28T14:20:36.159554,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.025295,0.114698
2025-05-28T14:20:40.481219,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.263632,1.195413
2025-05-28T14:20:40.481219,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.00827,0.037499
2025-05-28T14:20:40.481219,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.013132,0.059546
2025-05-28T14:20:40.481219,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.014181,0.064301
2025-05-28T14:20:40.481219,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.034198,0.155066
