Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,18,0,1600.0,1692.8201019893297,1510.8519160421565,2192.83858302515,212.0,0.15078767457985137,0.0,1700,1700,1800,1800,1900,2200,2200,2200,2200,2200,2200
POST,S4 Flood,23,0,200.0,313.640153956721,91.80508309509605,1199.0131660131738,150.7391304347826,0.1926731397409212,0.0,200,360,500,540,590,650,1200,1200,1200,1200,1200
POST,S5 Audio,21,0,710.0,918.4513910108113,567.1095000579953,2166.2305840291083,187.71428571428572,0.17591895367649327,0.0,710,920,1100,1100,1500,1700,2200,2200,2200,2200,2200
,Aggregated,62,0,700.0,918.9026546457993,91.80508309509605,2192.83858302515,181.0483870967742,0.5193797679972658,0.0,700,1300,1600,1600,1700,1800,2200,2200,2200,2200,2200
