timestamp,scope,name,cpu_util,power
2025-05-28T14:24:50.888822,node,master,0.057147,2.544827
2025-05-28T14:24:50.888822,node,worker-1,0.037217,2.454459
2025-05-28T14:24:50.888822,node,worker-2,0.082219,2.658513
2025-05-28T14:24:50.888822,node,worker-3,0.018127,2.367893
2025-05-28T14:24:55.305249,node,master,0.057653,2.547121
2025-05-28T14:24:55.305249,node,worker-1,0.037276,2.454723
2025-05-28T14:24:55.305249,node,worker-2,0.082219,2.658513
2025-05-28T14:24:55.305249,node,worker-3,0.018127,2.367893
2025-05-28T14:25:00.160804,node,master,0.057653,2.547121
2025-05-28T14:25:00.160804,node,worker-1,0.037276,2.454723
2025-05-28T14:25:00.160804,node,worker-2,0.082219,2.658513
2025-05-28T14:25:00.160804,node,worker-3,0.018127,2.367893
2025-05-28T14:25:05.806785,node,master,0.057653,2.547121
2025-05-28T14:25:05.806785,node,worker-1,0.037276,2.454723
2025-05-28T14:25:05.806785,node,worker-2,0.084528,2.668983
2025-05-28T14:25:05.806785,node,worker-3,0.018014,2.367382
2025-05-28T14:25:10.469257,node,master,0.057042,2.54435
2025-05-28T14:25:10.469257,node,worker-1,0.037097,2.453914
2025-05-28T14:25:10.469257,node,worker-2,0.084528,2.668983
2025-05-28T14:25:10.469257,node,worker-3,0.018014,2.367382
2025-05-28T14:25:15.438944,node,master,0.057042,2.54435
2025-05-28T14:25:15.438944,node,worker-1,0.037097,2.453914
2025-05-28T14:25:15.438944,node,worker-2,0.084528,2.668983
2025-05-28T14:25:15.438944,node,worker-3,0.018014,2.367382
2025-05-28T14:25:21.869486,node,master,0.057042,2.54435
2025-05-28T14:25:21.869486,node,worker-1,0.037097,2.453914
2025-05-28T14:25:21.869486,node,worker-2,0.083806,2.665708
2025-05-28T14:25:21.869486,node,worker-3,0.017847,2.366626
2025-05-28T14:25:25.387834,node,master,0.057264,2.545357
2025-05-28T14:25:25.387834,node,worker-1,0.03656,2.451479
2025-05-28T14:25:25.387834,node,worker-2,0.083806,2.665708
2025-05-28T14:25:25.387834,node,worker-3,0.017847,2.366626
2025-05-28T14:25:30.463316,node,master,0.057264,2.545357
2025-05-28T14:25:30.463316,node,worker-1,0.03656,2.451479
2025-05-28T14:25:30.463316,node,worker-2,0.083806,2.665708
2025-05-28T14:25:30.463316,node,worker-3,0.017847,2.366626
2025-05-28T14:25:36.069864,node,master,0.057264,2.545357
2025-05-28T14:25:36.069864,node,worker-1,0.03656,2.451479
2025-05-28T14:25:36.069864,node,worker-2,0.079336,2.64544
2025-05-28T14:25:36.069864,node,worker-3,0.019332,2.373358
2025-05-28T14:25:40.412613,node,master,0.058612,2.55147
2025-05-28T14:25:40.412613,node,worker-1,0.037613,2.456254
2025-05-28T14:25:40.412613,node,worker-2,0.079336,2.64544
2025-05-28T14:25:40.412613,node,worker-3,0.019332,2.373358
2025-05-28T14:25:45.456409,node,master,0.058612,2.55147
2025-05-28T14:25:45.456409,node,worker-1,0.037613,2.456254
2025-05-28T14:25:45.456409,node,worker-2,0.079336,2.64544
2025-05-28T14:25:45.456409,node,worker-3,0.019332,2.373358
2025-05-28T14:25:51.029663,node,master,0.058612,2.55147
2025-05-28T14:25:51.029663,node,worker-1,0.037613,2.456254
2025-05-28T14:25:51.029663,node,worker-2,0.080968,2.652842
