Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,18,0,1700.0,1710.3589306029285,1530.3440840216354,2233.316332916729,212.11111111111111,0.15390978414753037,0.0,1700,1700,1700,1700,2200,2200,2200,2200,2200,2200,2200
POST,S4 Flood,22,0,360.0,402.19071972586045,92.03041600994766,1504.6451669186354,150.6818181818182,0.18811195840253714,0.0,370,430,490,570,600,920,1500,1500,1500,1500,1500
POST,S5 Audio,21,0,740.0,803.2197740062007,577.8169999830425,1258.4337079897523,188.0,0.17956141483878543,0.0,740,800,890,980,1100,1100,1300,1300,1300,1300,1300
,Aggregated,61,0,740.0,926.2667514582272,92.03041600994766,2233.316332916729,181.65573770491804,0.521583157388853,0.0,740,1100,1500,1600,1700,1700,2200,2200,2200,2200,2200
