timestamp,scope,name,cpu_util,power
2025-05-28T14:19:30.156390,node,master,0.057681,2.547247
2025-05-28T14:19:30.156390,node,worker-1,0.037958,2.457818
2025-05-28T14:19:30.156390,node,worker-2,0.085403,2.67295
2025-05-28T14:19:30.156390,node,worker-3,0.018361,2.368957
2025-05-28T14:19:35.975560,node,master,0.057681,2.547247
2025-05-28T14:19:35.975560,node,worker-1,0.037958,2.457818
2025-05-28T14:19:35.975560,node,worker-2,0.080554,2.650966
2025-05-28T14:19:35.975560,node,worker-3,0.018417,2.369209
2025-05-28T14:19:40.626793,node,master,0.05775,2.547562
2025-05-28T14:19:40.626793,node,worker-1,0.038444,2.460022
2025-05-28T14:19:40.626793,node,worker-2,0.080554,2.650966
2025-05-28T14:19:40.626793,node,worker-3,0.018417,2.369209
2025-05-28T14:19:45.201463,node,master,0.05775,2.547562
2025-05-28T14:19:45.201463,node,worker-1,0.038444,2.460022
2025-05-28T14:19:45.201463,node,worker-2,0.080554,2.650966
2025-05-28T14:19:45.201463,node,worker-3,0.018417,2.369209
2025-05-28T14:19:50.856023,node,master,0.05775,2.547562
2025-05-28T14:19:50.856023,node,worker-1,0.038444,2.460022
2025-05-28T14:19:50.856023,node,worker-2,0.081972,2.657395
2025-05-28T14:19:50.856023,node,worker-3,0.018764,2.370783
2025-05-28T14:19:55.360598,node,master,0.056597,2.542334
2025-05-28T14:19:55.360598,node,worker-1,0.037792,2.457063
2025-05-28T14:19:55.360598,node,worker-2,0.081972,2.657395
2025-05-28T14:19:55.360598,node,worker-3,0.018764,2.370783
2025-05-28T14:20:00.175079,node,master,0.056597,2.542334
2025-05-28T14:20:00.175079,node,worker-1,0.037792,2.457063
2025-05-28T14:20:00.175079,node,worker-2,0.081972,2.657395
2025-05-28T14:20:00.175079,node,worker-3,0.018764,2.370783
2025-05-28T14:20:05.895025,node,master,0.056597,2.542334
2025-05-28T14:20:05.895025,node,worker-1,0.037792,2.457063
2025-05-28T14:20:05.895025,node,worker-2,0.082819,2.661236
2025-05-28T14:20:05.895025,node,worker-3,0.019194,2.372735
2025-05-28T14:20:10.230639,node,master,0.056042,2.539815
2025-05-28T14:20:10.230639,node,worker-1,0.037069,2.453788
2025-05-28T14:20:10.230639,node,worker-2,0.082819,2.661236
2025-05-28T14:20:10.230639,node,worker-3,0.019194,2.372735
2025-05-28T14:20:15.722636,node,master,0.056042,2.539815
2025-05-28T14:20:15.722636,node,worker-1,0.037069,2.453788
2025-05-28T14:20:15.722636,node,worker-2,0.082819,2.661236
2025-05-28T14:20:15.722636,node,worker-3,0.019194,2.372735
2025-05-28T14:20:21.651592,node,master,0.056042,2.539815
2025-05-28T14:20:21.651592,node,worker-1,0.037069,2.453788
2025-05-28T14:20:21.651592,node,worker-2,0.083708,2.665267
2025-05-28T14:20:21.651592,node,worker-3,0.019444,2.373869
2025-05-28T14:20:25.391736,node,master,0.056944,2.543909
2025-05-28T14:20:25.391736,node,worker-1,0.036861,2.452843
2025-05-28T14:20:25.391736,node,worker-2,0.083708,2.665267
2025-05-28T14:20:25.391736,node,worker-3,0.019444,2.373869
2025-05-28T14:20:30.669171,node,master,0.056944,2.543909
2025-05-28T14:20:30.669171,node,worker-1,0.036861,2.452843
2025-05-28T14:20:30.669171,node,worker-2,0.083708,2.665267
2025-05-28T14:20:30.669171,node,worker-3,0.019444,2.373869
2025-05-28T14:20:36.159554,node,master,0.056944,2.543909
2025-05-28T14:20:36.159554,node,worker-1,0.036861,2.452843
2025-05-28T14:20:36.159554,node,worker-2,0.08075,2.651853
2025-05-28T14:20:36.159554,node,worker-3,0.019111,2.372357
2025-05-28T14:20:40.481219,node,master,0.056736,2.542964
2025-05-28T14:20:40.481219,node,worker-1,0.036583,2.451583
2025-05-28T14:20:40.481219,node,worker-2,0.08075,2.651853
2025-05-28T14:20:40.481219,node,worker-3,0.019111,2.372357
2025-05-28T14:20:45.458918,node,master,0.056736,2.542964
2025-05-28T14:20:45.458918,node,worker-1,0.036583,2.451583
2025-05-28T14:20:45.458918,node,worker-2,0.08075,2.651853
2025-05-28T14:20:45.458918,node,worker-3,0.019111,2.372357
2025-05-28T14:21:00.225734,node,master,0.056222,2.540634
2025-05-28T14:21:00.225734,node,worker-1,0.034667,2.442893
