Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,56,2,6200.0,7246.091189702774,1285.190416034311,14843.431208049878,230.89285714285714,0.3111271270707799,0.01111168310967071,6400,8900,12000,12000,13000,14000,14000,15000,15000,15000,15000
POST,S4 Flood,58,29,7400.0,8093.840516573781,1324.0017500938848,22835.545583977364,163.29310344827587,0.32223881018045064,0.16111940509022532,7900,9800,11000,13000,14000,17000,19000,23000,23000,23000,23000
POST,S5 Audio,95,0,3300.0,4137.371598233126,751.8240830395371,12774.745958042331,187.93684210526317,0.5278049477093588,0.0,3300,4100,5000,5500,7800,11000,13000,13000,13000,13000,13000
,Aggregated,209,31,4700.0,6068.297408692735,751.8240830395371,22835.545583977364,192.60765550239233,1.1611708849605893,0.17223108819989602,4700,7000,8900,10000,13000,13000,15000,17000,23000,23000,23000
