Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,54,0,7600.0,7806.298051656793,1728.005458950065,22974.53141596634,236.7962962962963,0.3006766043536661,0.0,7800,9600,10000,11000,12000,16000,23000,23000,23000,23000,23000
POST,S4 Flood,53,29,8900.0,8883.630253152729,1844.0197919262573,21538.06829196401,161.16981132075472,0.29510851908785746,0.1614744727084503,8900,12000,13000,14000,15000,18000,21000,22000,22000,22000,22000
POST,S5 Audio,96,0,3500.0,4046.247733538621,682.2904580039904,11792.063875007443,187.84375,0.5345361855176286,0.0,3500,4300,5500,5900,8200,10000,11000,12000,12000,12000,12000
,Aggregated,203,29,4900.0,6309.420101607237,682.2904580039904,22974.53141596634,193.9014778325123,1.1303213089591522,0.1614744727084503,4900,7400,9400,10000,13000,15000,18000,22000,23000,23000,23000
