timestamp,scope,name,cpu_util,power,memory_util
2025-06-02T20:33:38.583568,node,master,0.0,0.0,0.0
2025-06-02T20:33:38.583568,node,worker-1,0.077318,2.63629,0.2036
2025-06-02T20:33:38.583568,node,worker-2,0.180835,3.105678,0.3623
2025-06-02T20:33:38.583568,node,worker-3,0.145903,2.947282,0.1386
2025-06-02T20:33:43.183186,node,master,0.0,0.0,0.0
2025-06-02T20:33:43.183186,node,worker-1,0.070331,2.604611,0.2037
2025-06-02T20:33:43.183186,node,worker-2,0.180835,3.105678,0.3623
2025-06-02T20:33:43.183186,node,worker-3,0.145903,2.947282,0.1386
2025-06-02T20:33:46.193262,node,master,0.0,0.0,0.0
2025-06-02T20:33:46.193262,node,worker-1,0.070331,2.604611,0.2037
2025-06-02T20:33:46.193262,node,worker-2,0.180835,3.105678,0.3623
2025-06-02T20:33:46.193262,node,worker-3,0.145903,2.947282,0.1386
2025-06-02T20:33:51.296915,node,master,0.0,0.0,0.0
2025-06-02T20:33:51.296915,node,worker-1,0.070331,2.604611,0.2037
2025-06-02T20:33:51.296915,node,worker-2,0.147931,2.956476,0.3455
2025-06-02T20:33:51.296915,node,worker-3,0.128749,2.869497,0.1732
2025-06-02T20:33:54.281007,node,master,0.0,0.0,0.0
2025-06-02T20:33:54.281007,node,worker-1,0.070331,2.604611,0.2037
2025-06-02T20:33:54.281007,node,worker-2,0.147931,2.956476,0.3455
2025-06-02T20:33:54.281007,node,worker-3,0.128749,2.869497,0.1732
2025-06-02T20:33:58.153134,node,master,0.0,0.0,0.0
2025-06-02T20:33:58.153134,node,worker-1,0.065579,2.583062,0.2039
2025-06-02T20:33:58.153134,node,worker-2,0.147931,2.956476,0.3455
2025-06-02T20:33:58.153134,node,worker-3,0.128749,2.869497,0.1732
2025-06-02T20:33:59.544043,node,master,0.0,0.0,0.0
2025-06-02T20:33:59.544043,node,worker-1,0.065579,2.583062,0.2039
2025-06-02T20:33:59.544043,node,worker-2,0.147931,2.956476,0.3455
2025-06-02T20:33:59.544043,node,worker-3,0.128749,2.869497,0.1732
2025-06-02T20:34:06.477593,node,master,0.0,0.0,0.0
2025-06-02T20:34:06.477593,node,worker-1,0.065579,2.583062,0.2039
2025-06-02T20:34:06.477593,node,worker-2,0.161984,3.020202,0.3632
2025-06-02T20:34:06.477593,node,worker-3,0.111577,2.791634,0.1763
2025-06-02T20:34:10.936598,node,master,0.0,0.0,0.0
2025-06-02T20:34:10.936598,node,worker-1,0.073098,2.617157,0.2037
2025-06-02T20:34:10.936598,node,worker-2,0.161984,3.020202,0.3632
2025-06-02T20:34:10.936598,node,worker-3,0.111577,2.791634,0.1763
2025-06-02T20:34:12.841669,node,master,0.0,0.0,0.0
2025-06-02T20:34:12.841669,node,worker-1,0.072816,2.615875,0.2037
2025-06-02T20:34:12.841669,node,worker-2,0.161984,3.020202,0.3632
2025-06-02T20:34:12.841669,node,worker-3,0.111577,2.791634,0.1763
2025-06-02T20:34:17.032827,node,master,0.0,0.0,0.0
2025-06-02T20:34:17.032827,node,worker-1,0.072816,2.615875,0.2037
2025-06-02T20:34:17.032827,node,worker-2,0.161984,3.020202,0.3632
2025-06-02T20:34:17.032827,node,worker-3,0.111577,2.791634,0.1763
2025-06-02T20:34:39.699682,node,master,0.0,0.0,0.0
2025-06-02T20:34:39.699682,node,worker-1,0.074552,2.623748,0.2036
2025-06-02T20:34:39.699682,node,worker-2,0.209811,3.237069,0.3926
2025-06-02T20:34:39.699682,node,worker-3,0.119248,2.82642,0.1725
2025-06-02T20:35:05.337769,node,master,0.0,0.0,0.0
2025-06-02T20:35:05.337769,node,worker-1,0.089983,2.693718,0.2038
2025-06-02T20:35:05.337769,node,worker-2,0.227071,3.31533,0.3978
2025-06-02T20:35:05.337769,node,worker-3,0.174558,3.077217,0.2157
2025-06-02T20:35:42.933582,node,master,0.0,0.0,0.0
2025-06-02T20:35:42.933582,node,worker-1,0.090792,2.697388,0.204
2025-06-02T20:35:42.933582,node,worker-2,0.248205,3.411161,0.4286
2025-06-02T20:35:42.933582,node,worker-3,0.153763,2.982922,0.2461
2025-06-02T20:36:41.708508,node,master,0.0,0.0,0.0
2025-06-02T20:36:41.708508,node,worker-1,0.088507,2.687028,0.2057
2025-06-02T20:36:41.708508,node,worker-2,0.24797,3.410093,0.4666
2025-06-02T20:36:41.708508,node,worker-3,0.189605,3.145444,0.2847
