Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,50,1,5700.0,8681.327736699022,1814.1987500712276,30811.912624980323,233.34,0.27789558552586435,0.005557911710517287,5800,11000,13000,16000,19000,22000,31000,31000,31000,31000,31000
POST,S4 Flood,53,28,8300.0,9067.803150291098,1466.8644999619573,24432.198374997824,161.9056603773585,0.2945693206574162,0.15562152789448402,8300,10000,12000,12000,16000,21000,23000,24000,24000,24000,24000
POST,S5 Audio,88,0,3900.0,4992.543507532735,836.1635829787701,18220.72308405768,187.88636363636363,0.48909623052552126,0.0,4000,5600,7000,7700,9300,14000,17000,18000,18000,18000,18000
,Aggregated,191,29,5600.0,7089.02503907466,836.1635829787701,30811.912624980323,192.5759162303665,1.0615611367088018,0.1611794396050013,5600,7800,9600,11000,15000,18000,23000,24000,31000,31000,31000
