Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,58,2,8400.0,9944.469317595138,1311.3146669929847,33453.38479208294,209.06896551724137,0.48345502688034486,0.01667086299587396,8400,9400,9600,10000,17000,29000,29000,33000,33000,33000,33000
POST,S4 Flood,60,8,6800.0,9638.860594440484,331.474749953486,30091.604624991305,138.25,0.5001258898762189,0.06668345198349585,7600,9100,15000,16000,27000,30000,30000,30000,30000,30000,30000
POST,S5 Audio,127,0,2300.0,3560.403154521271,698.8679589703679,17483.337000012398,187.85826771653544,1.0585998002379964,0.0,2300,3100,3900,4800,8400,12000,14000,16000,17000,17000,17000
,Aggregated,245,10,4400.0,6560.334925351626,331.474749953486,33453.38479208294,180.73061224489797,2.0421807169945603,0.0833543149793698,4400,7600,8500,9400,14000,20000,29000,30000,33000,33000,33000
