timestamp,scope,name,node,cpu_util,power,memory_mib
2025-05-28T17:11:29.653422,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.075849,0.343929,115.91
2025-05-28T17:11:29.653422,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.073261,0.332193,113.58
2025-05-28T17:11:29.653422,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.086436,0.391934,92.82
2025-05-28T17:11:29.653422,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.106378,0.482363,97.51
2025-05-28T17:11:29.653422,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.117464,0.53263,97.32
2025-05-28T17:11:30.312400,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.041045,0.186116,95.58
2025-05-28T17:11:30.312400,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.037683,0.170871,94.96
2025-05-28T17:11:30.312400,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.627017,2.843145,212.03
2025-05-28T17:11:30.312400,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008353,0.037876,183.37
2025-05-28T17:11:30.312400,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.021021,0.095316,80.96
2025-05-28T17:11:30.312400,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.045453,0.206101,80.13
2025-05-28T17:11:30.312400,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.055144,0.250047,112.12
2025-05-28T17:11:30.312400,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.07651,0.346929,115.91
2025-05-28T17:11:30.312400,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.074513,0.337872,113.58
2025-05-28T17:11:30.312400,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.082009,0.371863,92.82
2025-05-28T17:11:30.312400,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.106767,0.484125,97.51
2025-05-28T17:11:30.312400,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.117836,0.534314,97.32
2025-05-28T17:11:43.530963,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.040443,0.183384,96.08
2025-05-28T17:11:43.530963,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.039625,0.179675,94.96
2025-05-28T17:11:43.530963,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.695609,3.154168,212.03
2025-05-28T17:11:43.530963,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.006901,0.031293,183.37
2025-05-28T17:11:43.530963,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.022309,0.101156,82.03
2025-05-28T17:11:43.530963,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.038342,0.173857,80.5
2025-05-28T17:11:43.530963,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.011493,0.052113,113.08
2025-05-28T17:11:43.530963,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.034647,0.157103,116.32
2025-05-28T17:11:43.530963,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.065383,0.296473,113.59
2025-05-28T17:11:43.530963,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.063078,0.28602,93.05
2025-05-28T17:11:43.530963,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.117641,0.533433,99.46
2025-05-28T17:11:43.530963,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.088915,0.403174,97.32
2025-05-28T17:11:56.029995,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.01139,0.051648,96.08
2025-05-28T17:11:56.029995,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.010462,0.047437,94.96
2025-05-28T17:11:56.029995,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.894809,4.057424,196.91
2025-05-28T17:11:56.029995,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.00788,0.035731,183.39
2025-05-28T17:11:56.029995,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.022915,0.103907,82.03
2025-05-28T17:11:56.029995,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.042406,0.192287,80.5
