Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,58,1,8300.0,9788.889402194462,4926.002542022616,30497.50987510197,209.41379310344828,0.48374921717000957,0.00834050374431051,8300,8900,9200,11000,18000,25000,30000,30000,30000,30000,30000
POST,S4 Flood,68,6,6500.0,8042.507049059222,1295.7356660626829,30064.02279192116,140.80882352941177,0.5671542546131146,0.050043022465863056,6700,8200,9000,9300,12000,30000,30000,30000,30000,30000,30000
POST,S5 Audio,146,0,2300.0,2812.225454904726,739.1857500188053,14072.564875008538,187.93150684931507,1.2177135466693343,0.0,2300,2800,3200,3600,4900,5900,10000,11000,14000,14000,14000
,Aggregated,272,7,3900.0,5607.466842203661,739.1857500188053,30497.50987510197,180.7316176470588,2.2686170184524586,0.058383526210173564,4000,6200,7600,8400,9600,14000,30000,30000,30000,30000,30000
