Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,102,0,3000.0,4900.215008611079,1833.7573750177398,30334.217000054196,211.83333333333334,0.8501012031515273,0.0,3100,3500,3700,4000,5000,24000,27000,30000,30000,30000,30000
POST,S4 Flood,75,6,3700.0,7408.531797211617,390.897584031336,30547.729041893035,141.93333333333334,0.6250744140820054,0.05000595312656043,3700,5200,7200,9500,23000,30000,30000,31000,31000,31000,31000
POST,S5 Audio,131,0,2800.0,3363.1703746656153,753.5933749750257,12743.123124935664,187.83969465648855,1.091796643263236,0.0,2800,3500,4000,4300,5800,8000,11000,11000,13000,13000,13000
,Aggregated,308,6,3000.0,4857.263424514275,390.897584031336,30547.729041893035,184.60714285714286,2.566972260496769,0.05000595312656043,3000,3700,4200,4700,8400,22000,27000,30000,31000,31000,31000
