Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,96,0,3700.0,5194.64741493357,1860.219583963044,30875.39779196959,211.67708333333334,0.8026109884116128,0.0,3900,4600,5400,5600,7000,17000,26000,31000,31000,31000,31000
POST,S4 Flood,80,7,4800.0,6761.5939645897015,196.32708304561675,30027.44708303362,141.275,0.6688424903430107,0.058523717905013435,4800,6900,7900,8400,15000,30000,30000,30000,30000,30000,30000
POST,S5 Audio,131,0,2600.0,3257.092400733915,794.8040829505771,13245.396042009816,187.93893129770993,1.09522957793668,0.0,2600,3400,3900,4200,5700,8400,12000,13000,13000,13000,13000
,Aggregated,307,7,3400.0,4776.197959273426,196.32708304561675,30875.39779196959,183.20195439739413,2.5666830566913035,0.058523717905013435,3400,4300,5300,5800,8400,14000,24000,30000,31000,31000,31000
