timestamp,scope,name,cpu_util,power,memory_util
2025-05-28T17:15:06.616011,node,master,0.054361,2.532195,0.2791
2025-05-28T17:15:06.616011,node,worker-1,0.041255,2.472765,0.1478
2025-05-28T17:15:06.616011,node,worker-2,0.033375,2.437036,0.204
2025-05-28T17:15:06.616011,node,worker-3,0.015153,2.354409,0.1065
2025-05-28T17:15:12.309654,node,master,0.053708,2.529235,0.2793
2025-05-28T17:15:12.309654,node,worker-1,0.041069,2.471925,0.1476
2025-05-28T17:15:12.309654,node,worker-2,0.033375,2.437036,0.204
2025-05-28T17:15:12.309654,node,worker-3,0.015153,2.354409,0.1065
2025-05-28T17:15:23.920030,node,master,0.053708,2.529235,0.2793
2025-05-28T17:15:23.920030,node,worker-1,0.041069,2.471925,0.1476
2025-05-28T17:15:23.920030,node,worker-2,0.062531,2.569238,0.2253
2025-05-28T17:15:23.920030,node,worker-3,0.022987,2.389934,0.1097
2025-05-28T17:15:38.065467,node,master,0.081347,2.654561,0.2797
2025-05-28T17:15:38.065467,node,worker-1,0.066949,2.589274,0.1547
2025-05-28T17:15:38.065467,node,worker-2,0.134019,2.893396,0.2796
2025-05-28T17:15:38.065467,node,worker-3,0.072278,2.613436,0.1467
2025-05-28T17:15:54.947301,node,master,0.097514,2.727867,0.2802
2025-05-28T17:15:54.947301,node,worker-1,0.084566,2.669157,0.1609
2025-05-28T17:15:54.947301,node,worker-2,0.200014,3.192643,0.2876
2025-05-28T17:15:54.947301,node,worker-3,0.095982,2.720923,0.1581
2025-05-28T17:15:59.254038,node,master,0.105145,2.762471,0.2803
2025-05-28T17:15:59.254038,node,worker-1,0.097656,2.728512,0.1621
2025-05-28T17:15:59.254038,node,worker-2,0.200014,3.192643,0.2876
2025-05-28T17:15:59.254038,node,worker-3,0.095982,2.720923,0.1581
2025-05-28T17:16:07.921786,node,master,0.105145,2.762471,0.2803
2025-05-28T17:16:07.921786,node,worker-1,0.097656,2.728512,0.1621
2025-05-28T17:16:07.921786,node,worker-2,0.200014,3.192643,0.2876
2025-05-28T17:16:07.921786,node,worker-3,0.097433,2.727502,0.16
2025-05-28T17:16:16.743333,node,master,0.082523,2.659891,0.2805
2025-05-28T17:16:16.743333,node,worker-1,0.080474,2.650601,0.1624
2025-05-28T17:16:16.743333,node,worker-2,0.234252,3.347892,0.317
2025-05-28T17:16:16.743333,node,worker-3,0.097433,2.727502,0.16
2025-05-28T17:16:20.130187,node,master,0.082523,2.659891,0.2805
2025-05-28T17:16:20.130187,node,worker-1,0.080474,2.650601,0.1624
2025-05-28T17:16:20.130187,node,worker-2,0.234252,3.347892,0.317
2025-05-28T17:16:20.130187,node,worker-3,0.064574,2.578505,0.1603
2025-05-28T17:16:22.304857,node,master,0.082523,2.659891,0.2805
2025-05-28T17:16:22.304857,node,worker-1,0.080474,2.650601,0.1624
2025-05-28T17:16:22.304857,node,worker-2,0.223729,3.300175,0.3169
2025-05-28T17:16:22.304857,node,worker-3,0.056042,2.539815,0.1603
2025-05-28T17:16:36.866742,node,master,0.071842,2.611458,0.2806
2025-05-28T17:16:36.866742,node,worker-1,0.072886,2.616194,0.1625
2025-05-28T17:16:36.866742,node,worker-2,0.223729,3.300175,0.3169
2025-05-28T17:16:36.866742,node,worker-3,0.042389,2.477908,0.1615
2025-05-28T17:16:37.960719,node,master,0.071842,2.611458,0.2806
2025-05-28T17:16:37.960719,node,worker-1,0.072886,2.616194,0.1625
