Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,90,0,2900.0,5811.280456058577,1832.2564999107271,52581.599625060335,211.7111111111111,0.7505089650045157,0.0,2900,3400,3700,4300,12000,19000,51000,53000,53000,53000,53000
POST,S4 Flood,66,8,3700.0,8358.40909531213,329.496833961457,30078.30812491011,138.34848484848484,0.5503732410033115,0.0667119080004014,3700,6200,14000,16000,23000,30000,30000,30000,30000,30000,30000
POST,S5 Audio,101,0,3600.0,4868.423748359149,737.4142500339076,21166.552166920155,187.86138613861385,0.8422378385050676,0.0,3600,4300,5400,5700,10000,15000,20000,20000,21000,21000,21000
,Aggregated,257,8,3200.0,6094.867859611465,329.496833961457,52581.599625060335,183.49805447470817,2.143120044512895,0.0667119080004014,3200,4100,5600,6300,16000,21000,30000,47000,53000,53000,53000
