Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,66,1,3900.0,7087.932485467966,1713.9321659924462,52746.333415969275,233.3939393939394,0.36709791272612763,0.005562089586759509,3900,5000,5400,6100,12000,41000,52000,53000,53000,53000,53000
POST,S4 Flood,49,6,6500.0,8778.240923465666,1211.8989169830456,30013.45254201442,171.44897959183675,0.272542389751216,0.033372537520557057,6500,7400,10000,14000,27000,30000,30000,30000,30000,30000,30000
POST,S5 Audio,107,0,3100.0,3698.29520823817,642.3885829281062,11633.234542096034,187.93457943925233,0.5951435857832675,0.0,3100,4000,4800,5100,7000,8700,9500,10000,12000,12000,12000
,Aggregated,222,7,3700.0,5827.274489063908,642.3885829281062,52746.333415969275,197.8108108108108,1.234783888260611,0.038934627107316565,3700,5000,5700,6700,9600,15000,30000,41000,53000,53000,53000
