Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,58,0,4300.0,8391.634699760069,1883.7561249965802,48352.78633306734,237.10344827586206,0.32361305569236,0.0,4300,5000,7000,9100,23000,47000,48000,48000,48000,48000,48000
POST,S4 Flood,41,7,6400.0,10227.492590417813,1142.3781669000164,32464.687749976292,164.26829268292684,0.2287609531618407,0.03905674810080207,6400,13000,14000,16000,27000,30000,32000,32000,32000,32000,32000
POST,S5 Audio,108,0,3200.0,3481.5663475827832,750.1427499810234,8516.919250017963,187.88888888888889,0.6025898278409462,0.0,3300,3700,4800,5000,6300,6400,7000,7100,8500,8500,8500
,Aggregated,207,7,3600.0,6193.483933971763,750.1427499810234,48352.78633306734,197.0,1.154963836695147,0.03905674810080207,3600,4800,6100,6400,13000,25000,32000,47000,48000,48000,48000
