Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,60,0,5900.0,6412.647276319331,1720.718292053789,17368.628083029762,236.58333333333334,0.3343335835290666,0.0,5900,6800,8500,9500,12000,15000,16000,17000,17000,17000,17000
POST,S4 Flood,50,4,7200.0,8927.639567623846,1112.823334056884,27371.768582961522,181.96,0.27861131960755553,0.022288905568604443,7600,11000,13000,15000,18000,21000,27000,27000,27000,27000,27000
POST,S5 Audio,116,0,2600.0,3165.679342006052,800.0524999806657,10539.390042074956,187.89655172413794,0.6463782614895288,0.0,2600,3300,4300,4600,6300,6900,7400,9400,11000,11000,11000
,Aggregated,226,4,3700.0,5302.476188641833,800.0524999806657,27371.768582961522,199.50884955752213,1.259323164626151,0.022288905568604443,3800,5700,6700,7400,11000,15000,18000,21000,27000,27000,27000
