Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,16,0,1700.0,2375.6277370193857,1512.8556250128895,11976.82862507645,211.875,0.1348907755063061,0.0,1700,1700,1800,1800,2400,12000,12000,12000,12000,12000,12000
POST,S4 Flood,18,1,270.0,1752.225227013696,92.44541707448661,16878.619375056587,150.16666666666666,0.15175212244459435,0.008430673469144131,280,300,400,570,10000,17000,17000,17000,17000,17000,17000
POST,S5 Audio,19,0,840.0,1500.7751491410952,672.4857909139246,11506.20845798403,187.8421052631579,0.1601827959137385,0.0,840,910,1100,1100,2500,12000,12000,12000,12000,12000,12000
,Aggregated,53,1,890.0,1850.2797304195756,92.44541707448661,16878.619375056587,182.30188679245282,0.44682569386463894,0.008430673469144131,890,1600,1700,1700,2400,12000,12000,17000,17000,17000,17000
