Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,16,0,1700.0,2409.070489440637,1487.2247079620138,13204.279166995548,211.0625,0.13406784310090575,0.0,1700,1700,1700,1700,2200,13000,13000,13000,13000,13000,13000
POST,S4 Flood,20,1,200.0,1111.9021791790146,90.56441695429385,17417.040874948725,150.25,0.16758480387613217,0.00837924019380661,210,310,480,480,840,17000,17000,17000,17000,17000,17000
POST,S5 Audio,19,0,680.0,1369.519138175651,600.0668749911711,12808.38483304251,187.57894736842104,0.15920556368232555,0.0,680,810,900,900,1000,13000,13000,13000,13000,13000,13000
,Aggregated,55,1,680.0,1578.2551825448702,90.56441695429385,17417.040874948725,180.83636363636364,0.46085821065936344,0.00837924019380661,680,1000,1600,1700,1700,13000,13000,17000,17000,17000,17000
