Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,S1 Inference,16,0,1700.0,2464.9969425590825,1528.9593749912456,12588.612332940102,211.6875,0.13334249082513225,0.0,1700,1800,2100,2100,2500,13000,13000,13000,13000,13000,13000
POST,S4 Flood,20,1,200.0,1138.5557708039414,89.16625007987022,17731.085457955487,150.4,0.16667811353141532,0.008333905676570766,200,310,360,410,1200,18000,18000,18000,18000,18000,18000
POST,S5 Audio,20,0,680.0,1245.4128499608487,592.9194589843974,8795.14029098209,188.0,0.16667811353141532,0.0,700,880,1000,1000,2400,8800,8800,8800,8800,8800,8800
,Aggregated,56,1,680.0,1555.70220529002,89.16625007987022,17731.085457955487,181.33928571428572,0.4666987178879629,0.008333905676570766,700,1200,1600,1700,2300,8800,13000,18000,18000,18000,18000
